agent_job_audit_id,agent_server_scheduler_id,job_start_dt,job_completed_dt,job_next_run_dt,-,status,pid,rows|sec
"252101892","987","2014-11-20 16:53:19",\N,\N,\N,"PROCESSED_EMAIL","12591","25000"
"252102254","987","2014-11-20 16:54:01",\N,"2014-11-20 16:53:00",\N,"STARTING","29963",\N
"252109859","987","2014-11-20 16:54:01","2014-11-20 17:01:09","2014-11-20 17:01:00",\N,"COMPLETED","29963","428"
"252109855","987","2014-11-20 17:01:08",\N,\N,\N,"PROCESSED_EMAIL","29963","25000"
"252110412","987","2014-11-20 17:02:01",\N,"2014-11-20 17:01:00",\N,"STARTING","45652",\N
"252115956","987","2014-11-20 17:02:01","2014-11-20 17:07:38","2014-11-20 17:07:00",\N,"COMPLETED","45652","337"
"252115955","987","2014-11-20 17:07:37",\N,\N,\N,"PROCESSED_EMAIL","45652","25000"
"252116696","987","2014-11-20 17:08:02",\N,"2014-11-20 17:07:00",\N,"STARTING","7830",\N
"252123921","987","2014-11-20 17:08:02","2014-11-20 17:15:15","2014-11-20 17:15:00",\N,"COMPLETED","7830","433"
"252133209","987","2014-11-20 17:15:00",\N,\N,"3","OVERRUNNING","22624",\N
"252123919","987","2014-11-20 17:15:14",\N,\N,\N,"PROCESSED_EMAIL","7830","25000"
"252124704","987","2014-11-20 17:16:02",\N,"2014-11-20 17:15:00",\N,"STARTING","22624",\N
"252134121","987","2014-11-20 17:16:02","2014-11-20 17:25:57","2014-11-20 17:25:00",\N,"COMPLETED","22624","595"
"252143908","987","2014-11-20 17:25:00",\N,\N,"2","OVERRUNNING","41588",\N
"252134094","987","2014-11-20 17:25:56",\N,\N,\N,"PROCESSED_EMAIL","22624","25000"
"252134533","987","2014-11-20 17:26:01",\N,"2014-11-20 17:25:00",\N,"STARTING","41588",\N
"252145144","987","2014-11-20 17:26:01","2014-11-20 17:36:22","2014-11-20 17:36:00",\N,"COMPLETED","41588","621"
"252154653","987","2014-11-20 17:36:00",\N,\N,"4","OVERRUNNING","13876",\N
"252145139","987","2014-11-20 17:36:21",\N,\N,\N,"PROCESSED_EMAIL","41588","25000"
"252145331","987","2014-11-20 17:37:01",\N,"2014-11-20 17:36:00",\N,"STARTING","13876",\N
"252157389","987","2014-11-20 17:37:01","2014-11-20 17:48:53","2014-11-20 17:48:00",\N,"COMPLETED","13876","712"
"252166714","987","2014-11-20 17:48:00",\N,\N,"2","OVERRUNNING","37266",\N
"252157388","987","2014-11-20 17:48:52",\N,\N,\N,"PROCESSED_EMAIL","13876","25000"
"252157530","987","2014-11-20 17:49:01",\N,"2014-11-20 17:48:00",\N,"STARTING","37266",\N
"252168410","987","2014-11-20 17:49:01","2014-11-20 17:59:11","2014-11-20 17:59:00",\N,"COMPLETED","37266","610"
"252168402","987","2014-11-20 17:59:10",\N,\N,\N,"PROCESSED_EMAIL","37266","25000"
"252169070","987","2014-11-20 18:00:02",\N,"2014-11-20 17:59:00",\N,"STARTING","9689",\N
"252174418","987","2014-11-20 18:00:02","2014-11-20 18:05:55","2014-11-20 18:05:00",\N,"COMPLETED","9689","353"
"252174386","987","2014-11-20 18:05:53",\N,\N,\N,"PROCESSED_EMAIL","9689","25000"
"252174770","987","2014-11-20 18:06:01",\N,"2014-11-20 18:05:00",\N,"STARTING","20176",\N
"252178314","987","2014-11-20 18:06:01","2014-11-20 18:09:08","2014-11-20 18:10:00",\N,"COMPLETED","20176","187"
"252178309","987","2014-11-20 18:09:07",\N,\N,\N,"PROCESSED_EMAIL","20176","25000"
"252178713","987","2014-11-20 18:10:01",\N,"2014-11-20 18:10:00",\N,"STARTING","24250",\N
"252181193","987","2014-11-20 18:10:01","2014-11-20 18:12:29","2014-11-20 18:15:00",\N,"COMPLETED","24250","148"
"252181192","987","2014-11-20 18:12:28",\N,\N,\N,"PROCESSED_EMAIL","24250","19628"
"252183782","987","2014-11-20 18:15:01",\N,"2014-11-20 18:15:00",\N,"STARTING","32188",\N
"252184080","987","2014-11-20 18:15:01","2014-11-20 18:15:02","2014-11-20 18:20:00",\N,"COMPLETED","32188","1"
"252188700","987","2014-11-20 18:20:01",\N,"2014-11-20 18:20:00",\N,"STARTING","42409",\N
"252188848","987","2014-11-20 18:20:01","2014-11-20 18:20:02","2014-11-20 18:25:00",\N,"COMPLETED","42409","1"
"252193394","987","2014-11-20 18:25:01",\N,"2014-11-20 18:25:00",\N,"STARTING","2311",\N
"252193467","987","2014-11-20 18:25:01","2014-11-20 18:25:01","2014-11-20 18:30:00",\N,"COMPLETED","2311","0"
"252198227","987","2014-11-20 18:30:01",\N,"2014-11-20 18:30:00",\N,"STARTING","12702",\N
"252198836","987","2014-11-20 18:30:01","2014-11-20 18:30:02","2014-11-20 18:35:00",\N,"COMPLETED","12702","1"
"252203570","987","2014-11-20 18:35:01",\N,"2014-11-20 18:35:00",\N,"STARTING","21468",\N
"252203852","987","2014-11-20 18:35:01","2014-11-20 18:35:02","2014-11-20 18:40:00",\N,"COMPLETED","21468","1"
"252208444","987","2014-11-20 18:40:01",\N,"2014-11-20 18:40:00",\N,"STARTING","31724",\N
"252208596","987","2014-11-20 18:40:01","2014-11-20 18:40:02","2014-11-20 18:45:00",\N,"COMPLETED","31724","1"
"252213051","987","2014-11-20 18:45:01",\N,"2014-11-20 18:45:00",\N,"STARTING","40858",\N
"252213688","987","2014-11-20 18:45:01","2014-11-20 18:45:02","2014-11-20 18:50:00",\N,"COMPLETED","40858","1"
"252218092","987","2014-11-20 18:50:01",\N,"2014-11-20 18:50:00",\N,"STARTING","2279",\N
"252218452","987","2014-11-20 18:50:01","2014-11-20 18:50:01","2014-11-20 18:55:00",\N,"COMPLETED","2279","0"
"252223606","987","2014-11-20 18:55:02",\N,"2014-11-20 18:55:00",\N,"STARTING","11159",\N
"252223928","987","2014-11-20 18:55:02","2014-11-20 18:55:02","2014-11-20 19:00:00",\N,"COMPLETED","11159","0"
"252228602","987","2014-11-20 19:00:02",\N,"2014-11-20 19:00:00",\N,"STARTING","21458",\N
"252228856","987","2014-11-20 19:00:02","2014-11-20 19:00:02","2014-11-20 19:05:00",\N,"COMPLETED","21458","0"
"252233332","987","2014-11-20 19:05:01",\N,"2014-11-20 19:05:00",\N,"STARTING","30211",\N
"252234015","987","2014-11-20 19:05:01","2014-11-20 19:05:02","2014-11-20 19:10:00",\N,"COMPLETED","30211","1"
"252238500","987","2014-11-20 19:10:01",\N,"2014-11-20 19:10:00",\N,"STARTING","40471",\N
"252238678","987","2014-11-20 19:10:01","2014-11-20 19:10:01","2014-11-20 19:15:00",\N,"COMPLETED","40471","0"
"252243779","987","2014-11-20 19:15:01",\N,"2014-11-20 19:15:00",\N,"STARTING","778",\N
"252244239","987","2014-11-20 19:15:01","2014-11-20 19:15:02","2014-11-20 19:20:00",\N,"COMPLETED","778","1"
"252249066","987","2014-11-20 19:20:01",\N,"2014-11-20 19:20:00",\N,"STARTING","11184",\N
"252249174","987","2014-11-20 19:20:01","2014-11-20 19:20:02","2014-11-20 19:25:00",\N,"COMPLETED","11184","1"
"252253598","987","2014-11-20 19:25:01",\N,"2014-11-20 19:25:00",\N,"STARTING","19922",\N
"252254258","987","2014-11-20 19:25:01","2014-11-20 19:25:02","2014-11-20 19:30:00",\N,"COMPLETED","19922","1"
"252258729","987","2014-11-20 19:30:01",\N,"2014-11-20 19:30:00",\N,"STARTING","30211",\N
"252258805","987","2014-11-20 19:30:01","2014-11-20 19:30:01","2014-11-20 19:35:00",\N,"COMPLETED","30211","0"
"252263992","987","2014-11-20 19:35:01",\N,"2014-11-20 19:35:00",\N,"STARTING","38914",\N
"252264346","987","2014-11-20 19:35:01","2014-11-20 19:35:02","2014-11-20 19:40:00",\N,"COMPLETED","38914","1"
"252269007","987","2014-11-20 19:40:01",\N,"2014-11-20 19:40:00",\N,"STARTING","319",\N
"252269176","987","2014-11-20 19:40:01","2014-11-20 19:40:02","2014-11-20 19:45:00",\N,"COMPLETED","319","1"
"252273667","987","2014-11-20 19:45:01",\N,"2014-11-20 19:45:00",\N,"STARTING","9601",\N
"252274283","987","2014-11-20 19:45:01","2014-11-20 19:45:02","2014-11-20 19:50:00",\N,"COMPLETED","9601","1"
"252278592","987","2014-11-20 19:50:01",\N,"2014-11-20 19:50:00",\N,"STARTING","19898",\N
"252278926","987","2014-11-20 19:50:01","2014-11-20 19:50:01","2014-11-20 19:55:00",\N,"COMPLETED","19898","0"
"252284106","987","2014-11-20 19:55:01",\N,"2014-11-20 19:55:00",\N,"STARTING","28637",\N
"252284456","987","2014-11-20 19:55:01","2014-11-20 19:55:02","2014-11-20 20:00:00",\N,"COMPLETED","28637","1"
"252289080","987","2014-11-20 20:00:01",\N,"2014-11-20 20:00:00",\N,"STARTING","38903",\N
"252289162","987","2014-11-20 20:00:01","2014-11-20 20:00:01","2014-11-20 20:05:00",\N,"COMPLETED","38903","0"
"252294242","987","2014-11-20 20:05:02",\N,"2014-11-20 20:05:00",\N,"STARTING","47669",\N
"252294371","987","2014-11-20 20:05:02","2014-11-20 20:05:03","2014-11-20 20:10:00",\N,"COMPLETED","47669","1"
"252298699","987","2014-11-20 20:10:01",\N,"2014-11-20 20:10:00",\N,"STARTING","9189",\N
"252298744","987","2014-11-20 20:10:01","2014-11-20 20:10:01","2014-11-20 20:15:00",\N,"COMPLETED","9189","0"
"252304091","987","2014-11-20 20:15:01",\N,"2014-11-20 20:15:00",\N,"STARTING","18385",\N
"252304504","987","2014-11-20 20:15:01","2014-11-20 20:15:02","2014-11-20 20:20:00",\N,"COMPLETED","18385","1"
"252309191","987","2014-11-20 20:20:01",\N,"2014-11-20 20:20:00",\N,"STARTING","28619",\N
"252309551","987","2014-11-20 20:20:01","2014-11-20 20:20:02","2014-11-20 20:25:00",\N,"COMPLETED","28619","1"
"252314564","987","2014-11-20 20:25:02",\N,"2014-11-20 20:25:00",\N,"STARTING","37380",\N
"252314733","987","2014-11-20 20:25:02","2014-11-20 20:25:03","2014-11-20 20:30:00",\N,"COMPLETED","37380","1"
"252319671","987","2014-11-20 20:30:02",\N,"2014-11-20 20:30:00",\N,"STARTING","47656",\N
"252319792","987","2014-11-20 20:30:02","2014-11-20 20:30:02","2014-11-20 20:35:00",\N,"COMPLETED","47656","0"
"252324411","987","2014-11-20 20:35:01",\N,"2014-11-20 20:35:00",\N,"STARTING","7631",\N
"252324965","987","2014-11-20 20:35:01","2014-11-20 20:35:02","2014-11-20 20:40:00",\N,"COMPLETED","7631","1"
"252329560","987","2014-11-20 20:40:01",\N,"2014-11-20 20:40:00",\N,"STARTING","17922",\N
"252329657","987","2014-11-20 20:40:01","2014-11-20 20:40:01","2014-11-20 20:45:00",\N,"COMPLETED","17922","0"
"252335126","987","2014-11-20 20:45:01",\N,"2014-11-20 20:45:00",\N,"STARTING","27097",\N
"252335381","987","2014-11-20 20:45:01","2014-11-20 20:45:02","2014-11-20 20:50:00",\N,"COMPLETED","27097","1"
"252340237","987","2014-11-20 20:50:01",\N,"2014-11-20 20:50:00",\N,"STARTING","37299",\N
"252340459","987","2014-11-20 20:50:01","2014-11-20 20:50:02","2014-11-20 20:55:00",\N,"COMPLETED","37299","1"
"252345098","987","2014-11-20 20:55:01",\N,"2014-11-20 20:55:00",\N,"STARTING","46064",\N
